Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - AUD,Flow,,,,,,
05-May-2022,56.180,+1.940,+3.577%,56.110,55.420,56.500,"580,736","32,532,023.000","753,000,663.000",,,,,,
04-May-2022,54.240,-1.840,-3.281%,56.080,54.100,56.615,"956,394","52,515,898.000","720,468,640.000",,,,,,
03-May-2022,56.080,-0.920,-1.614%,57.020,55.840,57.850,"709,680","40,024,065.000","772,984,538.000",,,,,,
02-May-2022,57.000,-1.540,-2.631%,57.790,56.840,57.880,"605,330","34,595,277.000","813,008,603.000",,,,,,
29-Apr-2022,58.540,+0.390,+0.671%,58.870,57.800,59.280,"787,690","46,065,939.000","847,603,880.000",,,,,,
28-Apr-2022,58.150,+2.660,+4.794%,56.800,56.010,58.680,"1,234,369","71,285,745.000","801,537,941.000",,,,,,
27-Apr-2022,55.490,+0.820,+1.500%,54.580,54.450,55.720,"1,087,557","60,094,482.000","730,252,196.000",,,,,,
26-Apr-2022,54.670,-6.030,-9.934%,55.060,53.630,56.330,"2,354,788","129,385,154.000","670,157,714.000",,,,,,
22-Apr-2022,60.700,-1.350,-2.176%,61.180,58.880,62.100,"1,557,950","92,446,171.000","799,542,868.000",,,,,,
21-Apr-2022,62.050,+0.650,+1.059%,62.030,61.750,63.020,"1,122,216","69,948,029.000","891,989,039.000",,,,,,
20-Apr-2022,61.400,-0.260,-0.422%,61.850,60.360,62.480,"874,049","53,630,198.000","822,041,010.000",,,,,,
19-Apr-2022,61.660,-0.370,-0.596%,63.200,61.200,63.500,"1,033,409","64,103,483.000","875,671,208.000",,,,,,
14-Apr-2022,62.030,+0.230,+0.372%,62.510,61.440,62.790,"706,899","43,906,286.000","939,774,691.000",,,,,,
13-Apr-2022,61.800,+2.640,+4.462%,59.840,59.780,61.970,"771,518","47,270,697.000","895,868,405.000",,,,,,
12-Apr-2022,59.160,-0.130,-0.219%,59.830,59.070,60.660,"1,073,175","63,949,892.000","848,597,708.000",,,,,,
11-Apr-2022,59.290,-2.010,-3.279%,61.680,58.990,62.000,"1,050,816","63,140,079.000","912,547,600.000",,,,,,
08-Apr-2022,61.300,+1.290,+2.150%,61.590,60.720,62.140,"877,599","53,847,746.000","975,687,679.000",,,,,,
07-Apr-2022,60.010,-0.340,-0.563%,59.750,59.100,61.090,"1,485,286","89,309,488.000","921,839,933.000",,,,,,
06-Apr-2022,60.350,+0.680,+1.140%,58.940,58.120,61.280,"2,675,574","161,142,546.000","1,011,149,421.000",,,,,,
05-Apr-2022,59.670,+3.210,+5.685%,57.900,56.800,60.080,"2,341,576","137,655,696.000","850,006,875.000",,,,,,
04-Apr-2022,56.460,+1.870,+3.426%,55.590,55.120,56.740,"1,290,398","72,191,487.000","712,351,179.000",,,,,,
01-Apr-2022,54.590,+1.880,+3.567%,52.910,52.750,54.590,"1,384,311","74,874,077.000","640,159,692.000",,,,,,
31-Mar-2022,52.710,+2.200,+4.356%,51.240,51.140,52.710,"1,353,362","70,872,920.000","565,285,615.000",,,,,,
30-Mar-2022,50.510,+0.520,+1.040%,49.550,49.260,50.650,"1,089,307","54,725,369.000","494,412,695.000",,,,,,
29-Mar-2022,49.990,+0.780,+1.585%,49.790,48.850,50.240,"713,390","35,547,852.000","439,687,326.000",,,,,,
28-Mar-2022,49.210,+0.520,+1.068%,49.560,49.210,50.680,"873,155","43,449,218.000","404,139,474.000",,,,,,
