Exchange Date,Close,Adjusted Close,Net,%Chg,Open,Low,High,Volume,Turnover - AUD,Flow,Column1,_1,_2,_3,_4
3/2/22,0.975,,0.015,0.01563,0.955,0.945,1.005,19003700,18746318,229303061,,,,,
3/1/22,0.96,,0.055,0.06077,0.92,0.905,0.985,16877775,16017976,210556743,,,,,
2/21/22,0.905,,-0.03,-0.03209,0.915,0.895,0.93,6231208,5668416,194538767,,,,,
2/18/22,0.935,,0.035,0.03889,0.87,0.87,0.94,7816287,7170015,200207183,,,,,
2/17/22,0.9,,-0.015,-0.01639,0.91,0.885,0.91,4501218,4042697,193037168,,,,,
2/16/22,0.915,,0.065,0.07647,0.875,0.875,0.915,7119397,6378979,197079865,,,,,
2/15/22,0.85,,0.01,0.0119,0.84,0.83,0.88,7016541,5983321,190700886,,,,,
2/14/22,0.84,,-0.065,-0.07182,0.9,0.84,0.9,9362411,8121605,184717565,,,,,
2/11/22,0.905,,-0.045,-0.04737,0.92,0.9,0.925,5742084,5229855,192839170,,,,,
2/10/22,0.95,,0.025,0.02703,0.92,0.915,0.95,6598812,6174832,198069025,,,,,
2/9/22,0.925,,0.035,0.03933,0.895,0.885,0.925,6042377,5489344,191894193,,,,,
2/8/22,0.89,,0.01,0.01136,0.87,0.87,0.9,3398914,3015142,186404849,,,,,
2/7/22,0.88,,-0.01,-0.01124,0.89,0.855,0.89,3611064,3150008,183389707,,,,,
2/4/22,0.89,,0.005,0.00565,0.875,0.86,0.9,4758825,4208361,186539715,,,,,
2/3/22,0.885,,-0.04,-0.04324,0.91,0.875,0.92,5352073,4764490,182331354,,,,,
2/2/22,0.925,,0.01,0.01093,0.94,0.92,0.945,4243951,3950653,187095844,,,,,
2/1/22,0.915,,-0.005,-0.00543,0.94,0.905,0.975,8927727,8345160,183145191,,,,,
1/31/22,0.92,,0.04,0.04545,0.9,0.875,0.93,6426228,5828111,191490351,,,,,
1/28/22,0.88,,0.015,0.01734,0.89,0.835,0.895,7189445,6261033,185662240,,,,,
1/27/22,0.865,,0.03,0.03593,0.86,0.835,0.925,13886028,12217270,179401207,,,,,
1/25/22,0.835,,-0.055,-0.0618,0.875,0.8,0.91,15659033,13255508,167183937,,,,,
1/24/22,0.89,,-0.05,-0.05319,0.91,0.86,0.92,13522104,12029316,180439445,,,,,
1/21/22,0.94,,-0.065,-0.06468,0.99,0.935,1.01,13135985,12648431,192468761,,,,,
1/20/22,1.005,,0.02,0.0203,1,0.97,1.035,18094384,18095254,205117192,,,,,
1/19/22,0.985,,0.035,0.03684,0.97,0.965,1.005,14368337,14154333,187021938,,,,,
1/18/22,0.95,,0.005,0.00529,0.965,0.945,0.98,9653574,9286660,172867605,,,,,
1/17/22,0.945,,-0.06,-0.0597,1.01,0.945,1.08,24203582,24279959,163580945,,,,,
1/14/22,1.005,,0.015,0.01515,0.99,0.95,1.005,10798222,10651779,187860904,,,,,
1/13/22,0.99,,0,0,0.995,0.98,1.01,9020524,8970506,177209125,,,,,
1/12/22,0.99,,0.005,0.00508,1.015,0.975,1.02,9685293,9641083,168238619,,,,,
1/11/22,0.985,,-0.01,-0.01005,0.995,0.97,1.02,7755659,7693296,158597536,,,,,
1/10/22,0.995,,0.01,0.01015,0.995,0.97,1.02,8552263,8511264,166290832,,,,,
1/7/22,0.985,,0.035,0.03684,0.98,0.965,1.02,12592452,12487230,157779568,,,,,
1/6/22,0.95,,-0.075,-0.07317,1,0.95,1.01,13269839,12888548,145292338,,,,,
1/5/22,1.025,,-0.06,-0.0553,1.095,1.015,1.095,12782350,13318312,158180886,,,,,
